"PLAYER 
FULL NAME",Season,MIN,FG,FGA,Three_P,Three_PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,above_500mins
Aaron Gordon,NBA 2019-2020 Regular Season,2017.1499999999999,335,767,73,237,151,224,107,369,476,228,125,51,100,39,894,1
Aaron Holiday,NBA 2019-2020 Regular Season,1689.2599999999998,245,584,91,230,77,92,23,137,160,235,130,60,91,16,658,1
Abdel Nader,NBA 2019-2020 Regular Season,892.4500000000002,124,270,49,133,52,68,15,88,103,38,79,24,43,22,349,1
Adam Mokoka,NBA 2019-2020 Regular Season,111.67,12,28,6,15,2,4,7,3,10,4,17,4,2,0,32,0
Admiral Schofield,NBA 2019-2020 Regular Season,368.37999999999994,35,91,19,60,10,15,7,40,47,15,50,8,7,4,99,0
Al Horford,NBA 2019-2020 Regular Season,2154.1,331,734,99,287,65,87,112,373,485,279,156,55,84,66,826,1
Al-Farouq Aminu,NBA 2019-2020 Regular Season,380.05999999999995,25,86,9,36,19,29,24,64,88,21,27,18,17,8,78,0
Alec Burks,NBA 2019-2020 Regular Season,1849.0400000000004,337,817,119,317,242,274,56,242,298,196,135,62,94,19,1035,1
Alen Smailagic,NBA 2019-2020 Regular Season,138.89999999999998,20,40,3,13,16,19,10,17,27,13,14,3,11,4,59,0
Alex Caruso,NBA 2019-2020 Regular Season,1685.0699999999993,168,404,57,181,93,124,32,139,171,184,153,93,84,30,486,1
Alex Len,NBA 2019-2020 Regular Season,970.55,177,320,16,59,68,105,101,221,322,50,127,23,56,48,438,1
Alfonzo McKinnie,NBA 2019-2020 Regular Season,593.44,73,171,14,65,22,31,37,76,113,14,72,23,26,8,182,1
Alize Johnson,NBA 2019-2020 Regular Season,117.92999999999999,12,29,3,8,7,10,16,33,49,7,12,3,7,2,34,0
Allen Crabbe,NBA 2019-2020 Regular Season,653.01,63,177,36,119,10,14,10,66,76,33,47,15,17,4,172,1
Allonzo Trier,NBA 2019-2020 Regular Season,290.75,51,106,19,53,34,43,6,24,30,28,29,3,23,4,155,0
Amile Jefferson,NBA 2019-2020 Regular Season,74.35,5,14,0,0,5,14,10,13,23,4,7,1,3,3,15,0
Amir Coffey,NBA 2019-2020 Regular Season,165.9,23,57,6,20,8,13,4,12,16,18,20,6,8,2,60,0
Andre Drummond,NBA 2019-2020 Regular Season,1878.1800000000005,418,784,5,35,169,294,251,614,865,152,201,109,203,93,1010,1
Andre Iguodala,NBA 2019-2020 Regular Season,827.8599999999998,68,153,28,86,11,22,28,104,132,82,79,31,41,34,175,1
Andre Roberson,NBA 2019-2020 Regular Season,90.4,8,30,3,15,1,2,7,20,27,4,14,1,2,3,20,0
Andrew Wiggins,NBA 2019-2020 Regular Season,1858.8799999999997,437,978,111,334,190,268,66,208,274,198,127,45,131,52,1175,1
Anfernee Simons,NBA 2019-2020 Regular Season,1530.8500000000001,222,563,81,240,81,98,26,137,163,107,142,32,65,10,606,1
Ante Zizic,NBA 2019-2020 Regular Season,220.62999999999997,41,72,0,0,14,19,17,48,65,6,27,7,10,5,96,0
Anthony Davis,NBA 2019-2020 Regular Season,2900.0600000000004,756,1455,95,278,593,704,198,584,782,273,212,117,207,173,2200,1
Anthony Tolliver,NBA 2019-2020 Regular Season,895.3600000000001,67,186,50,147,23,31,35,122,157,42,80,19,34,12,207,1
Antonius Cleveland,NBA 2019-2020 Regular Season,54.839999999999996,6,19,0,3,3,5,3,5,8,1,9,2,2,3,15,0
Anzejs Pasecniks,NBA 2019-2020 Regular Season,436.84,61,116,0,3,34,58,42,65,107,18,75,9,24,12,156,0
Aron Baynes,NBA 2019-2020 Regular Season,934.4300000000001,183,382,59,168,56,75,73,167,240,67,141,9,50,23,481,1
Austin Rivers,NBA 2019-2020 Regular Season,1804.8799999999994,230,562,105,305,88,124,29,176,205,129,151,56,58,12,653,1
Avery Bradley,NBA 2019-2020 Regular Season,1186.42,170,383,63,173,20,24,18,97,115,63,110,43,47,5,423,1
BJ Johnson,NBA 2019-2020 Regular Season,86.11,10,34,4,10,9,10,3,14,17,3,3,3,6,0,33,0
Bam Adebayo,NBA 2019-2020 Regular Season,3104.150000000001,564,1011,2,15,354,497,224,709,933,452,240,101,250,109,1484,1
Ben McLemore,NBA 2019-2020 Regular Season,1749.0600000000002,257,585,195,488,50,67,23,144,167,64,163,50,53,16,759,1
Ben Simmons,NBA 2019-2020 Regular Season,2016.8899999999999,375,648,2,7,185,298,114,331,445,455,186,120,200,33,937,1
Bismack Biyombo,NBA 2019-2020 Regular Season,1029.06,151,278,0,0,91,151,120,188,308,50,116,10,48,49,393,1
Blake Griffin,NBA 2019-2020 Regular Season,512.28,88,250,27,111,76,98,17,67,84,59,27,7,40,7,279,1
Boban Marjanovic,NBA 2019-2020 Regular Season,503.96999999999986,138,240,4,18,50,66,72,160,232,25,65,8,34,12,330,1
Bobby Portis,NBA 2019-2020 Regular Season,1393.4899999999996,265,589,67,187,71,93,80,258,338,98,110,33,73,18,668,1
Bogdan Bogdanovic,NBA 2019-2020 Regular Season,1765.83,337,766,164,441,86,116,26,181,207,207,133,65,101,15,924,1
Bojan Bogdanovic,NBA 2019-2020 Regular Season,2082.7700000000004,418,935,189,457,250,277,39,220,259,132,110,34,160,7,1275,1
Bol Bol,NBA 2019-2020 Regular Season,108.34,19,37,6,12,15,18,8,16,24,6,12,4,12,8,59,0
Brad Wanamaker,NBA 2019-2020 Regular Season,1641.88,191,422,49,129,140,152,24,154,178,209,165,72,94,20,571,1
Bradley Beal,NBA 2019-2020 Regular Season,2053.0999999999995,593,1303,170,481,386,458,52,190,242,347,126,72,195,23,1742,1
Brandon Clarke,NBA 2019-2020 Regular Season,1324.6499999999994,304,488,27,69,85,112,93,255,348,84,102,33,56,50,720,1
Brandon Goodwin,NBA 2019-2020 Regular Season,430.47999999999996,76,190,26,87,28,30,11,61,72,51,43,12,29,4,206,0
Brandon Ingram,NBA 2019-2020 Regular Season,2103.43,507,1096,150,384,313,368,51,328,379,259,179,61,188,37,1477,1
Brandon Knight,NBA 2019-2020 Regular Season,462.47,59,167,45,131,20,34,4,37,41,69,40,10,38,3,183,0
Brian Bowen II,NBA 2019-2020 Regular Season,31.06,3,10,0,2,0,0,1,6,7,0,3,0,1,1,6,0
Brook Lopez,NBA 2019-2020 Regular Season,2144.83,353,785,123,378,142,172,77,290,367,104,190,56,82,176,971,1
Bruce Brown,NBA 2019-2020 Regular Season,1634.1199999999997,198,447,33,96,88,119,61,213,274,230,162,63,101,29,517,1
Bruno Caboclo,NBA 2019-2020 Regular Season,250.76999999999998,39,91,6,34,8,9,23,40,63,12,33,16,13,17,92,0
Bruno Fernando,NBA 2019-2020 Regular Season,712.59,103,199,5,37,29,51,67,131,198,49,107,18,42,17,240,1
Bryn Forbes,NBA 2019-2020 Regular Season,1579.2000000000005,242,581,148,381,75,90,12,114,126,108,113,33,57,0,707,1
Buddy Hield,NBA 2019-2020 Regular Season,2216.1399999999994,498,1163,271,688,115,136,58,271,329,213,165,67,168,17,1382,1
CJ McCollum,NBA 2019-2020 Regular Season,2796.89,666,1474,210,554,159,211,51,279,330,327,194,62,144,45,1701,1
CJ Miles,NBA 2019-2020 Regular Season,161.03,19,59,11,35,15,20,4,8,12,12,14,10,4,4,64,0
Caleb Martin,NBA 2019-2020 Regular Season,316.76,37,84,20,37,17,21,10,28,38,23,32,12,15,7,111,0
Caleb Swanigan,NBA 2019-2020 Regular Season,288.03999999999996,28,47,0,2,9,17,27,73,100,31,62,3,37,7,65,0
Cam Reddish,NBA 2019-2020 Regular Season,1550.77,213,554,83,250,101,126,36,180,216,87,132,62,95,28,610,1
Cameron Johnson,NBA 2019-2020 Regular Season,1255.4200000000003,176,405,106,272,46,57,48,139,187,69,88,35,32,20,504,1
Cameron Payne,NBA 2019-2020 Regular Season,183.18,33,68,15,29,6,7,4,27,31,24,20,8,11,2,87,0
Caris LeVert,NBA 2019-2020 Regular Season,1469.4999999999998,338,805,89,241,158,222,57,154,211,237,88,58,130,11,923,1
Carmelo Anthony,NBA 2019-2020 Regular Season,2115.3699999999994,369,865,96,251,158,185,72,324,396,96,193,54,115,30,992,1
Carsen Edwards,NBA 2019-2020 Regular Season,354.01000000000005,42,128,24,76,13,19,6,42,48,24,34,12,15,4,121,0
Cedi Osman,NBA 2019-2020 Regular Season,1910.4099999999999,266,609,123,321,63,94,39,193,232,154,160,54,91,16,718,1
Chandler Hutchison,NBA 2019-2020 Regular Season,526.81,80,175,12,38,46,78,18,90,108,26,47,27,27,7,218,1
Chandler Parsons,NBA 2019-2020 Regular Season,54.21000000000001,5,18,4,14,0,0,1,6,7,3,3,4,3,1,14,0
Charles Brown Jr.,NBA 2019-2020 Regular Season,40.48,6,19,3,9,5,5,2,2,4,2,3,2,3,2,20,0
Chasson Randle,NBA 2019-2020 Regular Season,40.4,0,4,0,2,5,6,0,2,2,5,3,2,0,0,5,0
Cheick Diallo,NBA 2019-2020 Regular Season,478.54,92,142,1,3,34,39,31,100,131,22,55,11,32,12,219,0
Chimezie Metu,NBA 2019-2020 Regular Season,105.29,24,42,0,2,10,13,12,21,33,10,7,3,10,6,58,0
Chris Boucher,NBA 2019-2020 Regular Season,861.2699999999999,144,310,40,123,91,117,110,179,289,27,119,23,29,64,419,1
Chris Chiozza,NBA 2019-2020 Regular Season,465.54999999999995,63,164,32,88,7,9,10,49,59,100,44,26,35,4,165,0
Chris Clemons,NBA 2019-2020 Regular Season,298.7400000000001,59,147,39,112,11,13,4,28,32,27,26,8,19,5,168,0
Chris Paul,NBA 2019-2020 Regular Season,2469.0800000000004,489,999,127,347,276,305,29,374,403,509,176,122,184,14,1381,1
Chris Silva,NBA 2019-2020 Regular Season,346.28000000000014,48,78,0,3,37,55,60,66,126,23,85,8,33,21,133,0
Christian Wood,NBA 2019-2020 Regular Season,1324.7,288,508,54,140,181,243,104,286,390,60,98,34,84,55,811,1
Clint Capela,NBA 2019-2020 Regular Season,1279.3,244,388,0,0,55,104,168,369,537,48,102,34,63,70,543,1
Coby White,NBA 2019-2020 Regular Season,1674.0199999999998,312,792,133,376,102,129,28,203,231,176,117,49,109,6,859,1
Cody Martin,NBA 2019-2020 Regular Season,902.7099999999999,89,207,18,77,42,65,38,120,158,96,78,39,44,9,238,1
Cody Zeller,NBA 2019-2020 Regular Season,1340.6499999999994,251,480,18,75,122,179,161,251,412,88,140,40,75,25,642,1
